Area,Element,Item,Unit,2018,Flag Description,Unit,2019,Flag Description
Colombia [44],Stocks [5118],Asses [1107],Livestock units (LSU),39050,Calculated data [Fc],Livestock units (LSU),45489,Calculated data [Fc]
Colombia [44],Stocks [5118],Cattle [866],Livestock units (LSU),18214723.8,Calculated data [Fc],Livestock units (LSU),19067836.9,Calculated data [Fc]
Colombia [44],Stocks [5118],Chickens [1057],Livestock units (LSU),1734880,Calculated data [Fc],Livestock units (LSU),1874990,Calculated data [Fc]
Colombia [44],Stocks [5118],Goats [1016],Livestock units (LSU),118964.9,Calculated data [Fc],Livestock units (LSU),103535.8,Calculated data [Fc]
Colombia [44],Stocks [5118],Horses [1096],Livestock units (LSU),645123.7,Calculated data [Fc],Livestock units (LSU),744023.15,Calculated data [Fc]
Colombia [44],Stocks [5118],Mules [1110],Livestock units (LSU),105496.8,Calculated data [Fc],Livestock units (LSU),121380,Calculated data [Fc]
Colombia [44],Stocks [5118],Pigs [1034],Livestock units (LSU),1376843.5,Calculated data [Fc],Livestock units (LSU),1020184.5,Calculated data [Fc]
Colombia [44],Stocks [5118],Sheep [976],Livestock units (LSU),118026.1,Calculated data [Fc],Livestock units (LSU),156119.7,Calculated data [Fc]
Ecuador [58],Stocks [5118],Asses [1107],Livestock units (LSU),23517.5,Calculated data [Fc],Livestock units (LSU),30577.5,Calculated data [Fc]
Ecuador [58],Stocks [5118],Cattle [866],Livestock units (LSU),2839757.2,Calculated data [Fc],Livestock units (LSU),3014370.8,Calculated data [Fc]
Ecuador [58],Stocks [5118],Chickens [1057],Livestock units (LSU),1584730,Calculated data [Fc],Livestock units (LSU),1610740,Calculated data [Fc]
Ecuador [58],Stocks [5118],Goats [1016],Livestock units (LSU),2174.5,Calculated data [Fc],Livestock units (LSU),2839.1,Calculated data [Fc]
Ecuador [58],Stocks [5118],Horses [1096],Livestock units (LSU),125341.45,Calculated data [Fc],Livestock units (LSU),127975.9,Calculated data [Fc]
Ecuador [58],Stocks [5118],Mules [1110],Livestock units (LSU),44208.6,Calculated data [Fc],Livestock units (LSU),49804.8,Calculated data [Fc]
Ecuador [58],Stocks [5118],Pigs [1034],Livestock units (LSU),320834.5,Calculated data [Fc],Livestock units (LSU),290671.25,Calculated data [Fc]
Ecuador [58],Stocks [5118],Sheep [976],Livestock units (LSU),35589.7,Calculated data [Fc],Livestock units (LSU),46464.4,Calculated data [Fc]
Peru [170],Stocks [5118],Asses [1107],Livestock units (LSU),324275,Calculated data [Fc],Livestock units (LSU),325004,Calculated data [Fc]
Peru [170],Stocks [5118],Cattle [866],Livestock units (LSU),3902838.1,Calculated data [Fc],Livestock units (LSU),3919923.7,Calculated data [Fc]
Peru [170],Stocks [5118],Chickens [1057],Livestock units (LSU),1606590,Calculated data [Fc],Livestock units (LSU),1681730,Calculated data [Fc]
Peru [170],Stocks [5118],Goats [1016],Livestock units (LSU),180702.8,Calculated data [Fc],Livestock units (LSU),180791.9,Calculated data [Fc]
Peru [170],Stocks [5118],Horses [1096],Livestock units (LSU),487342.05,Calculated data [Fc],Livestock units (LSU),488199.4,Calculated data [Fc]
Peru [170],Stocks [5118],Mules [1110],Livestock units (LSU),189535.2,Calculated data [Fc],Livestock units (LSU),190506.6,Calculated data [Fc]
Peru [170],Stocks [5118],Pigs [1034],Livestock units (LSU),806891,Calculated data [Fc],Livestock units (LSU),814732,Calculated data [Fc]
Peru [170],Stocks [5118],Sheep [976],Livestock units (LSU),1133190.8,Calculated data [Fc],Livestock units (LSU),1126178.8,Calculated data [Fc]
